stature,weightkg,SizeShirt,SizePants
156,65,XS/S,S/M
166,53,XXS/XS,XXS/XS
171,66,S/M,M/L
166,78,L/XL,XL/XXL
157,88,XL/XXL,XXL/XXXL
170,83,XL/XXL,XXL/XXXL
164,73,M/L,L/XL
167,76,L/XL,XL/XXL
152,54,XXS,XXS
159,68,S/M,M/L
170,99,XL/XXL,XXL/XXXL
166,74,M/L,L/XL
165,78,L/XL,XL/XXL
166,71,M/L,L/XL
159,70,S/M,M/L
167,67,S/M,M/L
164,62,XS/S,S/M
167,59,XXS/XS,XXS/XS
167,74,M/L,L/XL
161,60,XXS/XS,XXS/XS
151,80,L/XL,XL/XXL
167,74,M/L,L/XL
162,49,XXS/XS,XXS/XS
166,70,S/M,M/L
164,71,M/L,L/XL
157,70,S/M,M/L
144,48,XXS,XXS
162,69,S/M,M/L
168,73,M/L,L/XL
161,61,XS/S,S/M
159,65,XS/S,S/M
165,70,S/M,M/L
172,72,M/L,L/XL
167,84,XL/XXL,XXL/XXXL
165,94,XL/XXL,XXL/XXXL
163,62,XS/S,S/M
168,57,XXS/XS,XXS/XS
155,52,XXS,XXS
161,73,M/L,L/XL
158,79,L/XL,XL/XXL
164,89,XL/XXL,XXL/XXXL
168,68,S/M,M/L
165,75,M/L,L/XL
160,73,M/L,L/XL
160,74,M/L,L/XL
166,80,L/XL,XL/XXL
161,71,M/L,L/XL
162,71,M/L,L/XL
172,65,XS/S,S/M
158,47,XXS,XXS
172,69,S/M,M/L
172,119,XL/XXL,XXL/XXXL
170,88,XL/XXL,XXL/XXXL
162,75,M/L,L/XL
153,67,S/M,M/L
154,60,XXS/XS,XXS/XS
165,57,XXS/XS,XXS/XS
160,68,S/M,M/L
163,71,M/L,L/XL
161,60,XXS/XS,XXS/XS
175,69,S/M,M/L
167,85,XL/XXL,XXL/XXXL
163,61,XS/S,S/M
163,79,L/XL,XL/XXL
168,67,S/M,M/L
166,69,S/M,M/L
159,66,S/M,M/L
159,57,XXS/XS,XXS/XS
166,81,XL/XXL,XXL/XXXL
161,61,XS/S,S/M
155,64,XS/S,S/M
157,55,XXS,XXS
158,61,XS/S,S/M
169,66,S/M,M/L
155,73,M/L,L/XL
175,73,M/L,L/XL
156,69,S/M,M/L
165,75,M/L,L/XL
158,74,M/L,L/XL
165,68,S/M,M/L
171,86,XL/XXL,XXL/XXXL
182,88,XL/XXL,XXL/XXXL
164,78,L/XL,XL/XXL
168,62,XS/S,S/M
169,78,L/XL,XL/XXL
153,60,XXS/XS,XXS/XS
158,67,S/M,M/L
160,68,S/M,M/L
164,67,S/M,M/L
