stature,weightkg,SizeShirt,SizePants
177,81,L/XL,S/M
170,72,M/L,XS/S
173,92,L/XL,S/M
165,79,L/XL,S/M
191,94,XXL/XXXL,L/XL
172,80,L/XL,S/M
181,116,XXL/XXXL,L/XL
185,95,L/XL,S/M
177,99,XL/XXL,M/L
181,70,M/L,XS/S
178,88,L/XL,S/M
173,70,M/L,XS/S
181,103,XL/XXL,M/L
186,111,XXL/XXXL,L/XL
170,89,L/XL,S/M
174,92,L/XL,S/M
169,77,L/XL,S/M
176,96,XL/XXL,M/L
174,76,L/XL,S/M
179,90,L/XL,S/M
178,71,M/L,XS/S
168,74,M/L,XS/S
165,79,L/XL,S/M
195,91,XXL/XXXL,L/XL
175,96,XL/XXL,M/L
163,67,M/L,XS/S
182,107,XL/XXL,M/L
179,79,L/XL,S/M
174,78,L/XL,S/M
181,88,L/XL,S/M
188,71,XL/XXL,M/L
176,94,L/XL,S/M
167,66,M/L,XS/S
185,87,L/XL,S/M
178,67,M/L,XS/S
179,88,L/XL,S/M
168,69,M/L,XS/S
185,121,XXL/XXXL,XL/XXL
173,71,M/L,XS/S
174,88,L/XL,S/M
174,57,S/M,XXS/XS
167,87,L/XL,S/M
183,85,L/XL,S/M
173,86,L/XL,S/M
176,95,L/XL,S/M
166,66,M/L,XS/S
174,70,M/L,XS/S
170,84,L/XL,S/M
187,101,XL/XXL,M/L
167,85,L/XL,S/M
177,109,XL/XXL,M/L
184,83,L/XL,S/M
163,72,M/L,XS/S
175,98,XL/XXL,M/L
170,77,L/XL,S/M
184,140,XXL/XXXL,XL/XXL
178,67,M/L,XS/S
174,88,L/XL,S/M
170,98,XL/XXL,M/L
185,95,L/XL,S/M
160,56,S/M,XXS/XS
170,71,M/L,XS/S
183,71,L/XL,S/M
167,80,L/XL,S/M
174,98,XL/XXL,M/L
169,66,M/L,XS/S
167,80,L/XL,S/M
185,105,XL/XXL,M/L
175,68,M/L,XS/S
161,74,M/L,XS/S
177,73,M/L,XS/S
170,60,S/M,XXS/XS
161,77,L/XL,S/M
172,76,L/XL,S/M
184,102,XL/XXL,M/L
174,96,XL/XXL,M/L
167,92,L/XL,S/M
175,98,XL/XXL,M/L
181,88,L/XL,S/M
179,98,XL/XXL,M/L
175,85,L/XL,S/M
172,74,M/L,XS/S
180,92,L/XL,S/M
179,74,M/L,XS/S
172,82,L/XL,S/M
157,62,S/M,XXS/XS
171,77,L/XL,S/M
